,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
0,North America,7646830,+18526,+656,280131,4536355
1,Asia,7745773,+104916,+1553,152060,6241546
2,South America,6688579,+2737,+201,211692,5293800
3,Europe,3797402,+25519,+192,209970,2160014
4,Africa,1298948,+1625,+33,31164,1034316
5,Oceania,29289,+76,+5,784,24733
6,,721,,,15,651
7,World,27207542,+153399,+2640,885816,19291415
8,USA,6441847,+10695,+139,192957,3708450
9,India,4196616,+85777,+1060,71739,3241203
10,Brazil,4123000,,+36,126266,3296702
11,Russia,1025505,+5195,+61,17820,840949
12,Peru,683702,,,29687,506422
13,Colombia,658456,,,21156,507770
14,South Africa,636884,,,14779,561204
15,Mexico,629409,+6319,+475,67326,438754
16,Spain,517133,,,29418,N/A
17,Argentina,471806,,+68,9807,349132
18,Chile,422510,+2076,+41,11592,394399
19,Iran,386658,+1992,+139,22293,333900
20,UK,347152,+2988,+2,41551,N/A
21,Bangladesh,325157,+1592,+32,4479,221275
22,France,324777,+7071,,30724,87447
23,Saudi Arabia,320688,+756,+32,4081,296737
24,Pakistan,298509,+484,+2,6342,285898
25,Turkey,279806,+1578,+53,6673,251105
26,Italy,277634,+1297,+7,35541,210015
27,Iraq,256719,,,7422,195259
28,Germany,251226,+170,,9401,226208
29,Philippines,237365,+2839,+85,3875,184687
30,Indonesia,194109,+3444,+85,8025,138575
31,Ukraine,135894,+2107,+35,2846,62227
32,Canada,131653,+158,+2,9145,116136
33,Israel,130157,+1221,+5,1012,102462
34,Bolivia,120241,+661,+55,5398,69566
35,Qatar,120095,+231,+1,203,116998
36,Ecuador,118045,,,6724,102304
37,Kazakhstan,106301,+76,,1588,99523
38,Egypt,99712,,,5511,77208
39,Dominican Republic,99333,+557,+5,1845,72567
40,Panama,96305,,,2075,69223
41,Romania,95014,+1150,+43,3893,40307
42,Kuwait,89582,+619,+4,544,80521
43,Belgium,87825,+651,+5,9906,18555
44,Oman,87072,+692,+23,728,82406
45,Sweden,84985,,,5835,N/A
46,Guatemala,77481,,,2845,65595
47,Netherlands,74787,+925,+2,6243,N/A
48,UAE,73984,+513,,388,66095
49,Belarus,72859,+196,+6,711,71864
50,Japan,70876,,,1349,61445
51,Poland,70824,+437,+7,2120,54256
52,Morocco,70160,,,1329,53929
53,Honduras,64352,+554,+22,2006,13115
54,Portugal,60258,+315,+2,1840,42953
55,Ethiopia,57466,,,897,20776
56,Singapore,57022,+40,,27,56333
57,Nigeria,54905,,,1054,42922
58,Bahrain,54771,,+3,199,50645
59,Venezuela,52165,,,420,42006
60,Costa Rica,46920,,,478,18211
61,Algeria,46364,+293,+7,1556,32745
62,Nepal,46257,+980,+9,289,28941
63,Armenia,44783,+134,+2,897,40089
64,Ghana,44777,,,283,43693
65,Kyrgyzstan,44403,+87,,1060,39826
66,Switzerland,44401,+444,,2013,37100
67,Uzbekistan,43476,+183,+2,345,40880
68,Moldova,39797,+324,,1063,27799
69,Afghanistan,38398,+74,+3,1412,30537
70,Azerbaijan,37329,+137,+3,548,34705
71,Kenya,35103,+83,+3,597,21230
72,Serbia,31905,+56,+1,724,30637
73,Ireland,29672,+138,,1777,23364
74,Austria,29271,+184,+1,736,25043
75,Czechia,27957,+205,+4,435,19049
76,El Salvador,26308,+102,+7,759,15815
77,Australia,26278,+71,+5,753,22462
78,Palestine,26127,+552,+4,181,16843
79,Paraguay,21871,,,412,10810
80,Bosnia and Herzegovina,21560,+121,+4,655,14709
81,S. Korea,21177,+167,+1,334,16146
82,Lebanon,20426,+415,+4,191,6139
83,Cameroon,19604,,,415,18448
84,Ivory Coast,18472,,,119,17323
85,Denmark,17883,+147,,627,15760
86,Libya,17749,+655,+13,285,2081
87,Bulgaria,17050,,,671,12132
88,Madagascar,15319,+50,+1,200,14139
89,North Macedonia,15090,+92,+3,617,12235
90,Senegal,13987,+39,,290,9922
91,Sudan,13407,,,832,6725
92,Zambia,12776,+67,+3,295,11674
93,Croatia,11964,+225,+1,198,9008
94,Greece,11524,+138,+4,284,3804
95,Norway,11330,+34,,264,9348
96,Albania,10255,+153,+4,316,6106
97,DRC,10210,+32,+1,260,9439
98,Guinea,9722,+73,,61,8886
99,Malaysia,9397,+6,,128,9115
100,French Guiana,9322,,,62,8870
101,Tajikistan,8792,+35,,70,7581
102,Gabon,8601,,,53,7424
103,Namibia,8514,,,87,3643
104,Maldives,8486,,,29,5822
105,Hungary,8387,+495,,624,3958
106,Haiti,8360,+24,+2,214,5933
107,Finland,8291,+30,,336,7350
108,Mauritania,7134,,,160,6658
109,Luxembourg,6896,,,124,6126
110,Zimbabwe,6837,,,206,5345
111,Malawi,5611,,,175,3551
112,Montenegro,5422,,,107,4224
113,Djibouti,5387,,,60,5327
114,Equatorial Guinea,4972,,,83,4413
115,Hong Kong,4879,+21,,94,4510
116,Eswatini,4819,,,94,3903
117,Tunisia,4776,,,93,1701
118,CAR,4729,,,62,1818
119,Nicaragua,4668,,,141,2913
120,Congo,4628,,,102,1742
121,Slovakia,4614,+88,,37,2802
122,Rwanda,4349,,,18,2199
123,Mozambique,4341,,,26,2579
124,Suriname,4320,,+1,77,3426
